Family,Category,SuggestedName,Conflict,ProblemReasons
M_Rectangular Wye - Curved,Duct Fittings,MHT-ME-DF-M-Rectangular-Wye-Curved,,missing_shape;missing_fitting
Branch Takeoff - Generic,Pipe Fittings,MHT-ME-FAM-Branch-Takeoff-Generic,,
Cross - Flanged - CS - PN 40,Pipe Fittings,MHT-ME-FAM-Cross-Flanged-CS-PN-40,,
Rectangular - Oval Transformation - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Oval-Transformation-Flanged,,missing_shape;missing_fitting;missing_size
Coupling - Soldered - CU1,Pipe Fittings,MHT-ME-FAM-Coupling-Soldered-CU1,,
Reducer Straight - Soldered - CU1,Pipe Fittings,MHT-ME-FAM-Reducer-Straight-Soldered-CU1,,
Tee - Soldered - CU1,Pipe Fittings,MHT-ME-FAM-Tee-Soldered-CU1,,
Cross - Soldered - CU1,Pipe Fittings,MHT-ME-FAM-Cross-Soldered-CU1,,
Elbow - Soldered - CU1,Pipe Fittings,MHT-ME-FAM-Elbow-Soldered-CU1,,
Victaulic-IPS-Eccentric Reducer No 51,Pipe Fittings,MHT-ME-FAM-Victaulic-IPS-Eccentric-Reducer-No-51,,
COES_90°_Elbow,Pipe Fittings,MHT-ME-FAM-COES-90-Elbow,,
M_Cross - Welded - Generic,Pipe Fittings,MHT-ME-FAM-M-Cross-Welded-Generic,,
Victaulic-Grooved Coupling OGS-AGS,Pipe Fittings,MHT-ME-FAM-Victaulic-Grooved-Coupling-OGS-AGS,,
Victaulic-FP-Grooved Coupling1,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Grooved-Coupling1,,
Bush Reducing - Plain - PVC-C1,Pipe Fittings,MHT-ME-FAM-Bush-Reducing-Plain-PVC-C1,,
M_Round Duct Takeoff-pop,Duct Fittings,MHT-ME-DF-M-Round-Duct-Takeoff-Pop,,missing_shape;missing_fitting
Elbow - Plain - PVC-C1,Pipe Fittings,MHT-ME-FAM-Elbow-Plain-PVC-C1,,
Socket - Plain - PVC-C1,Pipe Fittings,MHT-ME-FAM-Socket-Plain-PVC-C1,,
Tee - Plain - PVC-C1,Pipe Fittings,MHT-ME-FAM-Tee-Plain-PVC-C1,,
Cross - Plain - PVC-C1,Pipe Fittings,MHT-ME-FAM-Cross-Plain-PVC-C1,,
Rectangular Shoe Branch - Flanged1,Duct Fittings,MHT-ME-DF-Rectangular-Shoe-Branch-Flanged1,,missing_shape;missing_fitting
Conduit Elbow - Plain End - PVC,Conduit Fittings,MHT-ME-FAM-Conduit-Elbow-Plain-End-PVC,,
Conduit Junction Box - Cross - PVC,Conduit Fittings,MHT-ME-FAM-Conduit-Junction-Box-Cross-PVC,,
Conduit Junction Box - Tee - PVC,Conduit Fittings,MHT-ME-FAM-Conduit-Junction-Box-Tee-PVC,,
Conduit Junction Box - Transition - PVC,Conduit Fittings,MHT-ME-FAM-Conduit-Junction-Box-Transition-PVC,,
MHT_AT_R Air Diff ECG,Air Terminals,MHT-ME-AT-RA-DN24,,missing_shape
MHT_AT_ECG Exh Grille cw Cushion head,Air Terminals,MHT-ME-AT-EXH-DN250,,missing_shape
MHT_AT_S Air Diff Square,Air Terminals,MHT-ME-AT-RAD-DN10,,
MHT_AT_S Air Diff Swirl,Air Terminals,MHT-ME-AT-RAD-DN538,,
Victaulic-FP-Elbow No 001-003,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Elbow-No-001-003,,
Victaulic-FP-Tee No 002,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Tee-No-002,,
Elbow - Plain - PVC-C,Pipe Fittings,MHT-ME-FAM-Elbow-Plain-PVC-C,,
Elbow - Soldered - CU,Pipe Fittings,MHT-ME-FAM-Elbow-Soldered-CU,,
MHT_M_Pipe ID Tag,Pipe Tags,MHT-ME-FAM-M-Pipe-ID-Tag,,
MHT_M_Duct Size Tag-Free Air,Duct Tags,MHT-ME-DF-M-Duct-Size-Tag-Free-Air,,missing_shape;missing_fitting;missing_size
MHT_M_Flow Arrow Symbol,Generic Annotations,MHT-ME-FAM-M-Flow-Arrow-Symbol,,
Elbow - Generic,Pipe Fittings,MHT-ME-FAM-Elbow-Generic,,
Hydraulics Legend,Generic Annotations,MHT-ME-FAM-Hydraulics-Legend,,
Hydraulics Abbreviations Legend,Generic Annotations,MHT-ME-FAM-Hydraulics-Abbreviations-Legend,,
MHT_SectionTitle,View Titles,MHT-ME-FAM-Sectiontitle,,
