Family,Category,SuggestedName,Conflict,ProblemReasons
"Ladder Horizontal Tee","Cable Tray Fittings","MHT-ME-FAM-Ladder-Horizontal-Tee","",""
"Ladder Reducer","Cable Tray Fittings","MHT-ME-FAM-Ladder-Reducer","",""
"Ladder Union","Cable Tray Fittings","MHT-ME-FAM-Ladder-Union","",""
"Ladder Vertical Inside Bend","Cable Tray Fittings","MHT-ME-FAM-Ladder-Vertical-Inside-Bend","",""
"Ladder Vertical Outside Bend","Cable Tray Fittings","MHT-ME-FAM-Ladder-Vertical-Outside-Bend","",""
"Channel Horizontal Bend","Cable Tray Fittings","MHT-ME-FAM-Channel-Horizontal-Bend","",""
"Conduit Junction Box - Transition - PVC","Conduit Fittings","MHT-ME-FAM-Conduit-Junction-Box-Transition-PVC","",""
"Conduit Coupling - Aluminum","Conduit Fittings","MHT-ME-FAM-Conduit-Coupling-Aluminum","",""
"Conduit Coupling - PVC","Conduit Fittings","MHT-ME-FAM-Conduit-Coupling-PVC","",""
"Conduit Coupling - Steel","Conduit Fittings","MHT-ME-FAM-Conduit-Coupling-Steel","",""
"Conduit Elbow - Aluminum","Conduit Fittings","MHT-ME-FAM-Conduit-Elbow-Aluminum","",""
"Conduit Elbow - Steel","Conduit Fittings","MHT-ME-FAM-Conduit-Elbow-Steel","",""
"Conduit Elbow - without Fittings - EMT","Conduit Fittings","MHT-ME-FAM-Conduit-Elbow-Without-Fittings-EMT","",""
"Conduit Elbow - without Fittings - RMC","Conduit Fittings","MHT-ME-FAM-Conduit-Elbow-Without-Fittings-RMC","",""
"Conduit Elbow - without Fittings - RNC","Conduit Fittings","MHT-ME-FAM-Conduit-Elbow-Without-Fittings-RNC","",""
"Conduit Junction Box - Cross - Aluminum","Conduit Fittings","MHT-ME-FAM-Conduit-Junction-Box-Cross-Aluminum","",""
"Conduit Junction Box - Cross - PVC","Conduit Fittings","MHT-ME-FAM-Conduit-Junction-Box-Cross-PVC","",""
"Conduit Junction Box - Tee - Aluminum","Conduit Fittings","MHT-ME-FAM-Conduit-Junction-Box-Tee-Aluminum","",""
"Conduit Junction Box - Tee - PVC","Conduit Fittings","MHT-ME-FAM-Conduit-Junction-Box-Tee-PVC","",""
"Conduit Junction Box - Transition - Aluminum","Conduit Fittings","MHT-ME-FAM-Conduit-Junction-Box-Transition-Aluminum","",""
"Conduit Elbow - Plain End - PVC","Conduit Fittings","MHT-ME-FAM-Conduit-Elbow-Plain-End-PVC","",""
"Round Union","Duct Fittings","MHT-ME-DF-Round-Union","","missing_shape;missing_fitting"
"Oval Cross - Straight","Duct Fittings","MHT-ME-DF-Oval-Cross-Straight","","missing_shape;missing_fitting;missing_size"
"Oval Elbow - Gored","Duct Fittings","MHT-ME-DF-Oval-Elbow-Gored","","missing_shape;missing_fitting"
"Oval Elbow - Mitered","Duct Fittings","MHT-ME-DF-Oval-Elbow-Mitered","","missing_shape;missing_fitting"
"Oval Tap - Shoe","Duct Fittings","MHT-ME-DF-Oval-Tap-Shoe","","missing_shape;missing_fitting"
"Oval Tap - Straight","Duct Fittings","MHT-ME-DF-Oval-Tap-Straight","","missing_shape;missing_fitting;missing_size"
"Oval Tee - Straight","Duct Fittings","MHT-ME-DF-Oval-Tee-Straight","","missing_shape;missing_fitting"
"Oval to Round Transition - Length","Duct Fittings","MHT-ME-DF-Oval-To-Round-Transition-Length","","missing_shape;missing_fitting"
"Oval Transition - Length","Duct Fittings","MHT-ME-DF-Oval-Transition-Length","","missing_shape;missing_fitting"
"Oval Union","Duct Fittings","MHT-ME-DF-Oval-Union","","missing_shape;missing_fitting"
"Rectangular Cross","Duct Fittings","MHT-ME-DF-Rectangular-Cross","","missing_shape;missing_fitting;missing_size"
"Rectangular Elbow - Mitered","Duct Fittings","MHT-ME-DF-Rectangular-Elbow-Mitered","","missing_shape;missing_fitting"
"Rectangular Elbow - Radius","Duct Fittings","MHT-ME-DF-Rectangular-Elbow-Radius","","missing_shape;missing_fitting"
"Rectangular Endcap","Duct Fittings","MHT-ME-DF-Rectangular-Endcap","","missing_shape;missing_fitting"
"Rectangular Tee","Duct Fittings","MHT-ME-DF-Rectangular-Tee","","missing_shape;missing_fitting"
"Rectangular to Oval Transition - Length","Duct Fittings","MHT-ME-DF-Rectangular-To-Oval-Transition-Length","","missing_shape;missing_fitting"
"Rectangular to Round Transition - Angle","Duct Fittings","MHT-ME-DF-Rectangular-To-Round-Transition-Angle","","missing_shape;missing_fitting"
"Rectangular Transition - Angle","Duct Fittings","MHT-ME-DF-Rectangular-Transition-Angle","","missing_shape;missing_fitting"
"Rectangular Union","Duct Fittings","MHT-ME-DF-Rectangular-Union","","missing_shape;missing_fitting"
