Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-MEQ-N-07","Mechanical Equipment","MHT-ME-MEQ-Pump-DN800-UND","",""
"MHT-EL-EE-Equipment","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-UND","",""
"MHT-ME-FAM-Butterfly Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Butterfly-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000623B-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Legend Table","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Legend-Table-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000623C-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Legend Table-2","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Legend-Table-2-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000623D-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Pipe Tags","Pipe Tags","MHT-ME-FAM-Mht-Me-Fam-Pipe-Tags-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000623E-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Pressure Gauge Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pressure-Gauge-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006246-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-NO","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-No-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006247-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Pressure Reducing Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pressure-Reducing-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006248-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Metering-Balancing Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Metering-Balancing-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006249-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Air Flow Arrow Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Air-Flow-Arrow-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000624A-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-AnchorPoint","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Anchorpoint-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000624B-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Blankedflangeconnection","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Blankedflangeconnection-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000624C-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Cappedvalve","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Cappedvalve-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000624D-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Floatoperatedcontrolvalve","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Floatoperatedcontrolvalve-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000624E-Autodesk-Revit-Db-Annotationsymboltype","",""
